[2026-03-11 01:19:48] === NUEVA SESION INICIADA ===
[2026-03-11 01:20:15] Asset=AIG-OTC | Precio=75.11550 | RSI=47.31 | EMA=75.10508 | SMA=75.18091 | BB_W%=0.6457 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.140 | MoodMom=0.000 | MicroMom=0.000 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=0.000 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:18] Asset=AIG-OTC | Precio=75.11550 | RSI=47.31 | EMA=75.10508 | SMA=75.18091 | BB_W%=0.6457 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.074 | MoodMom=0.000 | MicroMom=0.300 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=0.000 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:21] Asset=AIG-OTC | Precio=75.12250 | RSI=47.63 | EMA=75.10575 | SMA=75.18112 | BB_W%=0.6477 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.053 | MoodMom=0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.021 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:24] Asset=AIG-OTC | Precio=75.10050 | RSI=46.65 | EMA=75.10366 | SMA=75.18047 | BB_W%=0.6417 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.054 | MoodMom=0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.040 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:27] Asset=AIG-OTC | Precio=75.13150 | RSI=48.04 | EMA=75.10661 | SMA=75.18138 | BB_W%=0.6504 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.112 | MoodMom=-0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.032 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:30] Asset=AIG-OTC | Precio=75.11450 | RSI=47.27 | EMA=75.10499 | SMA=75.18088 | BB_W%=0.6454 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.170 | MoodMom=-0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.019 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:33] Asset=AIG-OTC | Precio=75.12150 | RSI=47.58 | EMA=75.10566 | SMA=75.18109 | BB_W%=0.6474 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.230 | MoodMom=-0.000 | MicroMom=-0.400 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.031 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:36] Asset=AIG-OTC | Precio=75.05650 | RSI=44.81 | EMA=75.09947 | SMA=75.17918 | BB_W%=0.6327 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.231 | MoodMom=-0.000 | MicroMom=-0.400 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.064 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:39] Asset=AIG-OTC | Precio=75.06350 | RSI=45.09 | EMA=75.10013 | SMA=75.17938 | BB_W%=0.6339 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.176 | MoodMom=-0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.140 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:42] Asset=AIG-OTC | Precio=75.08150 | RSI=45.84 | EMA=75.10185 | SMA=75.17991 | BB_W%=0.6373 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.113 | MoodMom=-0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.051 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:45] Asset=AIG-OTC | Precio=75.08050 | RSI=45.79 | EMA=75.10175 | SMA=75.17988 | BB_W%=0.6371 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.170 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.011 | FadeCrowd=-1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:48] Asset=AIG-OTC | Precio=75.08850 | RSI=46.13 | EMA=75.10251 | SMA=75.18012 | BB_W%=0.6389 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.115 | MoodMom=-0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.079 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:51] Asset=AIG-OTC | Precio=75.09550 | RSI=46.43 | EMA=75.10318 | SMA=75.18032 | BB_W%=0.6405 | Mood_CALL=100% | Mood_PUT=0% | Score=0.005 | MoodMom=-0.000 | MicroMom=0.667 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.035 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:54] Asset=AIG-OTC | Precio=75.11350 | RSI=47.22 | EMA=75.10489 | SMA=75.18085 | BB_W%=0.6451 | Mood_CALL=100% | Mood_PUT=0% | Score=0.007 | MoodMom=-0.000 | MicroMom=0.667 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=0.007 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:20:57] Asset=AIG-OTC | Precio=75.11050 | RSI=47.09 | EMA=75.10461 | SMA=75.18076 | BB_W%=0.6443 | Mood_CALL=100% | Mood_PUT=0% | Score=0.065 | MoodMom=0.000 | MicroMom=0.933 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=-0.007 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:21:00] Asset=AIG-OTC | Precio=75.09450 | RSI=46.39 | EMA=75.10308 | SMA=75.18029 | BB_W%=0.6403 | Mood_CALL=100% | Mood_PUT=0% | Score=0.009 | MoodMom=-0.000 | MicroMom=0.667 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=0.043 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:21:03] Asset=AIG-OTC | Precio=75.09550 | RSI=46.43 | EMA=75.10318 | SMA=75.18032 | BB_W%=0.6405 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.050 | MoodMom=-0.000 | MicroMom=0.400 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=0.048 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:21:07] Asset=AIG-OTC | Precio=75.09550 | RSI=45.64 | EMA=75.10462 | SMA=75.16282 | BB_W%=0.6390 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.073 | MoodMom=-0.000 | MicroMom=0.300 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=0.020 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:21:10] Asset=AIG-OTC | Precio=75.08450 | RSI=45.15 | EMA=75.10357 | SMA=75.16250 | BB_W%=0.6364 | Mood_CALL=100% | Mood_PUT=0% | Score=-0.139 | MoodMom=0.000 | MicroMom=0.000 | Diverg=0.000 | MoodBase=1.000 | Tech=-0.200 | ROC=0.017 | FadeCrowd=-0.999 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:21:13] Asset=AIG-OTC | Precio=75.10650 | RSI=46.22 | EMA=75.10567 | SMA=75.16315 | BB_W%=0.6417 | Mood_CALL=20% | Mood_PUT=80% | Score=-0.248 | MoodMom=-1.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=-0.603 | Tech=-0.200 | ROC=0.028 | FadeCrowd=0.000 | Decision=put | Filtros=[NONE]
[2026-03-11 01:22:16] Asset=AIG-OTC | Precio=75.05250 | RSI=42.60 | EMA=75.09909 | SMA=75.14303 | BB_W%=0.6425 | Mood_CALL=0% | Mood_PUT=100% | Score=0.168 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=0.200 | ROC=-0.033 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:19] Asset=AIG-OTC | Precio=75.08150 | RSI=43.87 | EMA=75.10185 | SMA=75.14388 | BB_W%=0.6474 | Mood_CALL=0% | Mood_PUT=100% | Score=0.091 | MoodMom=0.000 | MicroMom=0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.041 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
[2026-03-11 01:22:22] Asset=AIG-OTC | Precio=75.07950 | RSI=43.78 | EMA=75.10166 | SMA=75.14382 | BB_W%=0.6470 | Mood_CALL=0% | Mood_PUT=100% | Score=0.032 | MoodMom=0.000 | MicroMom=-0.133 | Diverg=0.000 | MoodBase=-1.000 | Tech=-0.200 | ROC=0.033 | FadeCrowd=1.000 | Decision=HOLD | Filtros=[NONE]
